rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date,showTm,prdtYear,prdtStatNm,typeNm,nationNm,genreNm,director,actor,showTypeGroupNm,showTypeNm,audits
1,1,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,2893509165,38.8,-686119312,-19.2,36926118105,290717,-59184,-16.9,3728850,1706,5793,2024-01-01,152,2022,개봉,장편,한국,사극,김한민,"김윤석, 백윤식, 정재영, 허준호, 김성규, 이규형, 이무생, 최덕문, 안보현, 박명훈, 박훈, 문정희, 정기섭, 유성주, 안성봉, 안세호, 이성욱, 오누리, 주석태, 최광제, 최정태, 김중희, 안성기, 여진구, 이제훈, 박용우, 김민상, 공명, 남명렬, 남경읍, 배한성, 김재영, 최단비, 송요셉, 김효민, 강성락, 이건록, 노형원, 임일규, 허재호, 한우진, 이재한, 강신구, 이태형, 김형석, 최돈학, 이지영, 이상호, 전운종, 한대훈, 정대경, 고해성, 남상우, 정영록, 이재우, 고기영, 문바롬, 이동희, 김용준, 손대민, 윤상영, 박형준, 이규탁, 김범수, 박상원, 진범일, 서한돌, 조성국, 이시안, 서대건, 정시훈, 김시우, 김준석, 박성현, 김형록, 황성웅, 위민국, 이민수, 김진형, 윤현승, 남태우, 우혁, 김무섭, 구본혁, 채강, 채원우, 김동환, 한재학, 정동근, 지상우, 송치훈, 김태응, 강민태, 박웅선, 강수호, 박현욱, 김서준, 황재운, 이웅규, 박범규, 김시국, 서현재, 김백겸, 공지삵, 강태우, 이승헌, 함진성, 이동현, 이원희, 박누가, 손수호, 최기표, 황민혁, 정하영, 신형근, 정유준, 서정민, 정민혁, 김태훈, 정종훈, 김서빈, 조현수, 윤영진, 하영진, 정민철, 김명수, 양동혁, 박성현, 정승현, 백경선, 임성민, 엄기영, 박인국, 유명환, 김민수, 오영철, 최지현, 오동훈, 윤혁진, 민주호, 김동형, 이창균, 김경훈, 김진욱, 홍기주, 이종섭, 오창후, 허재욱, 박상준, 허태경, 안준호, 조재현, 최지환, 문형돈, 오지훈, 이시헌, 박원진, 한지은, 신재영, 송광주, 장루이, 현서영, 신치영, 황민형, 김한상, 장유화, 연원모, 김지안, 석예린, 권지희, 문정환, 변봉식, 박광복, 박선애","2D, 2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 한글자막 CC, 디지털 가치봄, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
2,2,0,OLD,20212866,서울의 봄,2023-11-22,2666429137,35.8,-649456909,-19.6,118016920547,262422,-64054,-19.6,12117201,1614,5444,2024-01-01,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
3,3,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,565417320,7.6,-69888800,-11.0,6071745009,58239,-6751,-10.4,626508,834,1671,2024-01-01,94,2023,개봉,장편,일본,애니메이션,오네 히토시,,"2D, 2D, 2D","디지털, 디지털 한글자막 CC, 디지털 더빙",전체관람가
4,4,0,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,507984981,6.8,-156026099,-23.5,7967584753,49368,-14686,-22.9,772354,832,1611,2024-01-01,123,2023,개봉,장편,미국,액션,제임스 완,"제이슨 모모아, 패트릭 윌슨, 야히아 압둘 마틴 2세, 앰버 허드, 니콜 키드먼","2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
5,5,0,OLD,20235596,트롤: 밴드 투게더,2023-12-20,273538754,3.7,-16945147,-5.8,3383181955,28988,-1952,-6.3,365927,660,981,2024-01-01,91,2023,개봉,장편,미국,애니메이션,월트 도른,"안나 켄드릭, 저스틴 팀버레이크, 주이 디샤넬, 에이미 슈머, 앤드류 라넬스","2D, 2D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
6,6,1,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,113680587,1.5,2278496,2.0,3046919883,11586,190,1.7,332776,335,432,2024-01-01,77,2023,개봉,장편,한국,애니메이션,윤제완,"이선, 이미자, 함수정, 홍소영, 정미숙, 김서영, 김환진, 사문영, 한신, 심규혁, 김율, 황창영",2D,디지털,전체관람가
7,7,-1,OLD,20235290,도티와 영원의 탑,2023-12-27,100024717,1.3,-13487835,-11.9,488186693,10704,-1268,-10.6,52400,357,419,2024-01-01,86,2023,개봉,장편,한국,애니메이션,배완,"나희선, 최예린, 이민호, 이민형, 차재원, 엄상현, 이명호, 방보용, 정빈, 김하영, 김병선, 임채빈, 김도희, 이주원, 주백호, 송훈, 박도영, 김근환, 장은서, 정서진, 박현기, 김시우, 송희, 김기운, 하시안, 서부건, 조수아, 김예은, 권서준, 이나영, 조성하, 최아림, 강지민, 공은빈, 김성하, 옥수진, 유규선, 천민규, 한효경, 정찬, 박신후, 김경륜, 이지우, 허은우, 김경림, 홍성빈, 이영호, 고연우, 김로아, 홍윤서, 박채원, 이지엘, 이효린, 이다은, 최예원, 하예은, 하예설, 임소여, 오지수, 손정민, 이율주, 남도형, 신범식",2D,디지털,전체관람가
8,8,0,OLD,20234114,괴물,2023-11-29,92381680,1.2,-3768994,-3.9,3884333955,8710,-524,-5.7,396137,187,263,2024-01-01,126,2023,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
9,9,0,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,53094530,0.7,-707720,-1.3,372974290,6471,67,1.0,45294,207,248,2024-01-01,68,2023,개봉,장편,영국,애니메이션,,,2D,디지털 더빙,전체관람가
10,10,1,OLD,20235980,말하고 싶은 비밀,2023-12-13,38025184,0.5,-2349427,-5.8,868379725,3765,-164,-4.2,89597,95,127,2024-01-01,110,2023,개봉,장편,일본,멜로/로맨스,,사쿠라다 히요리,2D,디지털,전체관람가
